"","features","metric","seed"
"54","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,Age,YearsInCurrentRole,JobLevel,YearsWithCurrManager,StockOptionLevel,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,Education,ID,EducationField,DailyRate,DailyRateLog_L,EnvironmentSatisfaction,JobRole,NumCompaniesWorked,RelationshipSatisfaction,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,WorkLifeBalance,MaritalStatus,EmployeeNumber,BusinessTravel,HourlyRate,HourlyRateLog_L,PerformanceRating,Gender,PercentSalaryHike,PercentSalaryHike_L","Kappa",27
"55","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",28
"56","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,JobLevel,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,DistanceFromHome,DistanceFromHome_L,Department,ID,EducationField,NumCompaniesWorked,WorkLifeBalance,TrainingTimesLastYear,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,Gender,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,Education,DailyRate,DailyRateLog_L,HourlyRate,HourlyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,PerformanceRating,BusinessTravel,MaritalStatus","Kappa",28
"57","OverTime,StockOptionLevel,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,JobLevel,Age,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,DailyRateLog_L,DailyRate,Department,EducationField,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,JobRole,MonthlyRate,MonthlyRate_L,ID,MaritalStatus,EmployeeNumber,Gender,Education,BusinessTravel,NumCompaniesWorked,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,PerformanceRating,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L","Accuracy",29
"58","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,Age,YearsWithCurrManager,JobInvolvement,YearsInCurrentRole,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,DailyRateLog_L,DailyRate,EducationField,Department,MonthlyRate,EnvironmentSatisfaction,MonthlyRate_L,WorkLifeBalance,TrainingTimesLastYear,JobRole,ID,MaritalStatus,EmployeeNumber,Gender,Education,BusinessTravel,RelationshipSatisfaction,NumCompaniesWorked,PerformanceRating,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L","Kappa",29
"59","OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole","Accuracy",30
"60","OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,Age,YearsWithCurrManager,MonthlyIncome_L,MonthlyIncome,JobLevel,JobInvolvement,EducationField,JobSatisfaction,DistanceFromHome_L,Department,DistanceFromHome,Education,WorkLifeBalance","Kappa",30
"61","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,JobLevel,YearsAtCompany,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,JobRole,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,MonthlyRate,MonthlyRate_L,EducationField,RelationshipSatisfaction,TrainingTimesLastYear,Education,YearsSinceLastPromotion,EnvironmentSatisfaction,ID,HourlyRate,HourlyRateLog_L,BusinessTravel,DailyRate,DailyRateLog_L,Gender,NumCompaniesWorked,EmployeeNumber,MaritalStatus,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Accuracy",31
"62","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,JobLevel,YearsInCurrentRole,YearsAtCompany,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,JobRole,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,MonthlyRate_L,MonthlyRate,Education,EducationField,RelationshipSatisfaction,EnvironmentSatisfaction,TrainingTimesLastYear,ID,DailyRate,HourlyRate,YearsSinceLastPromotion,DailyRateLog_L,HourlyRateLog_L,BusinessTravel,Gender,NumCompaniesWorked,EmployeeNumber,MaritalStatus,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Kappa",31
"63","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome","Accuracy",32
"64","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,JobLevel,TotalWorkingYears,YearsInCurrentRole,Age,YearsAtCompany,JobInvolvement,YearsWithCurrManager,JobSatisfaction,Department,Education,MonthlyRate_L,MonthlyRate,DistanceFromHome,DistanceFromHome_L,JobRole,WorkLifeBalance,EducationField,ID,EnvironmentSatisfaction,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,BusinessTravel,NumCompaniesWorked,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,RelationshipSatisfaction,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,Gender,MaritalStatus,PerformanceRating","Kappa",32
"65","YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsWithCurrManager,MonthlyIncome_L,MonthlyIncome,OverTime,StockOptionLevel,JobLevel,Age,JobInvolvement,JobSatisfaction,Department,DistanceFromHome,JobRole,DistanceFromHome_L,TrainingTimesLastYear,Education,YearsSinceLastPromotion,NumCompaniesWorked,ID,WorkLifeBalance,EducationField,EnvironmentSatisfaction,Gender,DailyRate,EmployeeNumber,DailyRateLog_L,MaritalStatus,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Accuracy",33
"66","YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,YearsInCurrentRole,MonthlyIncome_L,MonthlyIncome,OverTime,StockOptionLevel,JobLevel,Age,JobInvolvement,JobSatisfaction,TrainingTimesLastYear,JobRole,Department,DistanceFromHome_L,DistanceFromHome,Education,YearsSinceLastPromotion,EducationField,ID,WorkLifeBalance,EnvironmentSatisfaction,NumCompaniesWorked,DailyRate,DailyRateLog_L,Gender,EmployeeNumber,MaritalStatus,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Kappa",33
"67","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel","Accuracy",34
"68","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,YearsAtCompany,JobLevel,YearsWithCurrManager,Age,JobInvolvement,TrainingTimesLastYear,WorkLifeBalance,Department,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Education,JobRole,ID,DailyRate,NumCompaniesWorked,DailyRateLog_L,EnvironmentSatisfaction,MaritalStatus,EducationField,BusinessTravel,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,Gender,EmployeeNumber,PerformanceRating","Kappa",34
"69","TotalWorkingYears,YearsAtCompany,StockOptionLevel,MonthlyIncome_L,OverTime,MonthlyIncome,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobLevel,JobSatisfaction,EnvironmentSatisfaction,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,WorkLifeBalance,JobRole,Department,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,EmployeeNumber,ID,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,MaritalStatus,HourlyRate,HourlyRateLog_L,Education,Gender,EducationField,BusinessTravel,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Accuracy",35
"70","TotalWorkingYears,YearsAtCompany,StockOptionLevel,OverTime,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,Age,JobInvolvement,YearsWithCurrManager,JobLevel,JobSatisfaction,EnvironmentSatisfaction,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,WorkLifeBalance","Kappa",35
"71","OverTime,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,JobLevel,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,TrainingTimesLastYear,JobRole,WorkLifeBalance,MonthlyRate_L,MonthlyRate,DistanceFromHome,DistanceFromHome_L,Department,NumCompaniesWorked,Education,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,Gender,YearsSinceLastPromotion,BusinessTravel,MaritalStatus,ID,EmployeeNumber,EducationField,RelationshipSatisfaction,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Accuracy",36
"72","OverTime,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,YearsAtCompany,TotalWorkingYears,JobLevel,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,TrainingTimesLastYear","Kappa",36
"73","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",37
"74","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsAtCompany,JobLevel,Age,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,JobRole,Department,TrainingTimesLastYear,EducationField,Education,DistanceFromHome,DistanceFromHome_L,MonthlyRate,MonthlyRate_L,YearsSinceLastPromotion,NumCompaniesWorked,WorkLifeBalance,RelationshipSatisfaction,EmployeeNumber,Gender,DailyRate,DailyRateLog_L,ID,PercentSalaryHike,PercentSalaryHike_L,HourlyRate,HourlyRateLog_L,MaritalStatus,PerformanceRating,BusinessTravel","Kappa",37
"75","OverTime,TotalWorkingYears,MonthlyIncome","Accuracy",38
"76","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,DistanceFromHome_L,DistanceFromHome,JobSatisfaction,Department,ID,EnvironmentSatisfaction,DailyRate,DailyRateLog_L,JobRole,Education,EducationField,WorkLifeBalance,TrainingTimesLastYear,MonthlyRate,PercentSalaryHike,PercentSalaryHike_L,RelationshipSatisfaction,NumCompaniesWorked,HourlyRate,MonthlyRate_L,EmployeeNumber,MaritalStatus,HourlyRateLog_L,PerformanceRating,Gender,YearsSinceLastPromotion,BusinessTravel","Kappa",38
"77","OverTime,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,JobLevel,JobInvolvement,YearsWithCurrManager,Age,Department,DistanceFromHome_L,DistanceFromHome,EducationField,JobSatisfaction,ID,WorkLifeBalance,TrainingTimesLastYear,JobRole,EnvironmentSatisfaction,HourlyRate,HourlyRateLog_L,Education,NumCompaniesWorked,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,BusinessTravel,EmployeeNumber,DailyRate,DailyRateLog_L,MaritalStatus,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,Gender,PerformanceRating","Accuracy",39
"78","OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,JobLevel,JobInvolvement,YearsWithCurrManager,Age,Department,DistanceFromHome_L,DistanceFromHome,EducationField,JobSatisfaction,WorkLifeBalance,ID,TrainingTimesLastYear,JobRole,HourlyRate,Education,HourlyRateLog_L,EnvironmentSatisfaction,NumCompaniesWorked,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,BusinessTravel,EmployeeNumber,MaritalStatus,DailyRate,DailyRateLog_L,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,Gender,PerformanceRating","Kappa",39
"79","OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel,YearsWithCurrManager,JobLevel,Age,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,JobRole,EnvironmentSatisfaction,EducationField,NumCompaniesWorked,WorkLifeBalance,YearsSinceLastPromotion,Education,MonthlyRate,MonthlyRate_L,DailyRate,DailyRateLog_L,TrainingTimesLastYear,HourlyRate,HourlyRateLog_L,RelationshipSatisfaction,ID,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,Gender,PerformanceRating,EmployeeNumber,MaritalStatus","Accuracy",40
"80","OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel,YearsWithCurrManager,JobLevel,Age,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,JobRole,EnvironmentSatisfaction,NumCompaniesWorked,EducationField,WorkLifeBalance,YearsSinceLastPromotion,Education,DailyRate,TrainingTimesLastYear,DailyRateLog_L,MonthlyRate,MonthlyRate_L,HourlyRate,HourlyRateLog_L,RelationshipSatisfaction,ID,BusinessTravel,Gender,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,MaritalStatus,EmployeeNumber","Kappa",40
"81","MonthlyIncome,MonthlyIncome_L,OverTime,JobLevel,TotalWorkingYears,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,JobRole,WorkLifeBalance,Education,Department,EnvironmentSatisfaction,EducationField,NumCompaniesWorked,MonthlyRate,HourlyRate,MonthlyRate_L,HourlyRateLog_L,DailyRate,DailyRateLog_L,EmployeeNumber,RelationshipSatisfaction,YearsSinceLastPromotion,DistanceFromHome,DistanceFromHome_L,Gender,TrainingTimesLastYear,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,ID,BusinessTravel,PerformanceRating","Accuracy",41
"82","MonthlyIncome,MonthlyIncome_L,OverTime,JobLevel,TotalWorkingYears,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,JobRole,WorkLifeBalance,Education,Department,EnvironmentSatisfaction,NumCompaniesWorked,MonthlyRate,EducationField,MonthlyRate_L,DailyRate,HourlyRate,DailyRateLog_L,EmployeeNumber,HourlyRateLog_L,YearsSinceLastPromotion,RelationshipSatisfaction,DistanceFromHome,DistanceFromHome_L,Gender,TrainingTimesLastYear,ID,MaritalStatus,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",41
"83","OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany","Accuracy",42
"84","OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,Age,YearsWithCurrManager,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,EducationField,YearsSinceLastPromotion,ID,NumCompaniesWorked,Education,JobRole,TrainingTimesLastYear,MonthlyRate,HourlyRate,MonthlyRate_L,HourlyRateLog_L,WorkLifeBalance,BusinessTravel,RelationshipSatisfaction,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,Gender,MaritalStatus,PerformanceRating,DailyRate,DailyRateLog_L","Kappa",42
"85","OverTime,MonthlyIncome_L,MonthlyIncome","Accuracy",43
"86","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobLevel,StockOptionLevel,YearsWithCurrManager,JobInvolvement,Age,Department,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,JobSatisfaction,DistanceFromHome,DistanceFromHome_L","Kappa",43
"87","OverTime,TotalWorkingYears,YearsInCurrentRole","Accuracy",44
"88","OverTime,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,StockOptionLevel,YearsWithCurrManager,MonthlyIncome_L,MonthlyIncome,JobLevel,Age,JobInvolvement,JobSatisfaction,Department,EnvironmentSatisfaction,DistanceFromHome_L,DistanceFromHome","Kappa",44
"89","OverTime,StockOptionLevel,MonthlyIncome_L","Accuracy",45
"90","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,TrainingTimesLastYear,WorkLifeBalance,EducationField,EnvironmentSatisfaction,JobRole,ID,DailyRate,MaritalStatus,DailyRateLog_L,HourlyRate,HourlyRateLog_L,RelationshipSatisfaction,Education,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,Gender,YearsSinceLastPromotion,EmployeeNumber,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel","Kappa",45
"91","YearsAtCompany,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,JobLevel,JobInvolvement,Age,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,NumCompaniesWorked,ID,EducationField,TrainingTimesLastYear,WorkLifeBalance,Education,BusinessTravel,JobRole,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,EmployeeNumber,Gender,PerformanceRating,MaritalStatus,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,PercentSalaryHike,PercentSalaryHike_L","Accuracy",46
"92","StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,JobLevel,JobInvolvement,Age,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,WorkLifeBalance,EnvironmentSatisfaction,EducationField,ID,BusinessTravel,JobRole,Education,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,EmployeeNumber,DailyRate,DailyRateLog_L,Gender,PerformanceRating,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L","Kappa",46
"93","OverTime,StockOptionLevel,TotalWorkingYears,MonthlyIncome_L","Accuracy",47
"94","OverTime,StockOptionLevel,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,Age,JobLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Education","Kappa",47
"95","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",48
"96","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,JobInvolvement,StockOptionLevel,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,DistanceFromHome_L","Kappa",48
"97","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,Age,JobLevel,YearsInCurrentRole,YearsAtCompany,JobInvolvement,YearsWithCurrManager,JobSatisfaction,Department,WorkLifeBalance,EnvironmentSatisfaction,NumCompaniesWorked,DistanceFromHome,DistanceFromHome_L,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,JobRole,MonthlyRate,MonthlyRate_L,TrainingTimesLastYear,Education,ID,EmployeeNumber,Gender,PercentSalaryHike,PercentSalaryHike_L,EducationField,YearsSinceLastPromotion,PerformanceRating,BusinessTravel,DailyRate,DailyRateLog_L,MaritalStatus","Accuracy",49
"98","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,JobLevel,Age,JobInvolvement,YearsWithCurrManager,JobSatisfaction,Department,WorkLifeBalance,EnvironmentSatisfaction,NumCompaniesWorked,DistanceFromHome_L,RelationshipSatisfaction,DistanceFromHome,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,JobRole,Education,ID,EmployeeNumber,Gender,EducationField,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,BusinessTravel,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,MaritalStatus","Kappa",49
"99","OverTime,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,HourlyRate,HourlyRateLog_L,DistanceFromHome,DistanceFromHome_L,JobRole,MonthlyRate,MonthlyRate_L,Department,NumCompaniesWorked,TrainingTimesLastYear,EducationField,YearsSinceLastPromotion,BusinessTravel,Education,MaritalStatus,DailyRate,DailyRateLog_L,RelationshipSatisfaction,Gender,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,ID,PerformanceRating","Accuracy",50
"100","OverTime,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,WorkLifeBalance,HourlyRate,HourlyRateLog_L,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,JobRole,Department,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,TrainingTimesLastYear,EducationField,YearsSinceLastPromotion,BusinessTravel,Education,DailyRate,DailyRateLog_L,MaritalStatus,Gender,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,ID,RelationshipSatisfaction,PerformanceRating","Kappa",50
"101","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,StockOptionLevel,JobLevel,YearsInCurrentRole,JobInvolvement,Age,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,Department,WorkLifeBalance,MonthlyRate,MonthlyRate_L,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome_L,Gender,ID,JobRole,Education,EmployeeNumber,RelationshipSatisfaction,DailyRate,DailyRateLog_L,EducationField,HourlyRate,HourlyRateLog_L,MaritalStatus,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Accuracy",51
"102","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,StockOptionLevel,JobLevel,YearsInCurrentRole,JobInvolvement,Age,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,Department,WorkLifeBalance,MonthlyRate_L,MonthlyRate,TrainingTimesLastYear,DistanceFromHome,DistanceFromHome_L,NumCompaniesWorked,Gender,ID,JobRole,Education,EmployeeNumber,RelationshipSatisfaction,DailyRate,DailyRateLog_L,EducationField,HourlyRate,HourlyRateLog_L,MaritalStatus,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Kappa",51
"103","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,EducationField,WorkLifeBalance,Education,ID,JobRole,HourlyRate,HourlyRateLog_L,NumCompaniesWorked,Department,TrainingTimesLastYear,EnvironmentSatisfaction,RelationshipSatisfaction,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,EmployeeNumber,MaritalStatus,PerformanceRating,BusinessTravel,DailyRate,DailyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,Gender","Accuracy",52
"104","OverTime,MonthlyIncome_L,YearsAtCompany,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,DistanceFromHome_L,DistanceFromHome","Kappa",52
"105","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel","Accuracy",53
"106","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,Education,JobRole,WorkLifeBalance,DailyRate,NumCompaniesWorked,DailyRateLog_L,YearsSinceLastPromotion,ID,TrainingTimesLastYear,RelationshipSatisfaction,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,EducationField,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,MaritalStatus,Gender,PerformanceRating,HourlyRate,HourlyRateLog_L,BusinessTravel","Kappa",53
"107","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,OverTime,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,EducationField,JobRole,ID,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,RelationshipSatisfaction,Education,Department,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,EnvironmentSatisfaction,TrainingTimesLastYear,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,BusinessTravel,Gender,EmployeeNumber,MaritalStatus,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L","Accuracy",54
"108","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,OverTime,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,EducationField,JobRole,ID,DistanceFromHome_L,DistanceFromHome,Education,WorkLifeBalance,Department,RelationshipSatisfaction,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,EnvironmentSatisfaction,TrainingTimesLastYear,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,BusinessTravel,Gender,MaritalStatus,EmployeeNumber,PerformanceRating,DailyRate,DailyRateLog_L,PercentSalaryHike,PercentSalaryHike_L","Kappa",54
"109","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,JobLevel,StockOptionLevel,YearsAtCompany,Age,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,DailyRateLog_L,DailyRate,JobRole,TrainingTimesLastYear,Department,EnvironmentSatisfaction,MaritalStatus,ID,NumCompaniesWorked,WorkLifeBalance,EducationField,HourlyRate,Gender,MonthlyRate,MonthlyRate_L,HourlyRateLog_L,RelationshipSatisfaction,BusinessTravel,EmployeeNumber,Education,PercentSalaryHike,PercentSalaryHike_L,YearsSinceLastPromotion,PerformanceRating","Accuracy",55
"110","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,JobLevel,StockOptionLevel,YearsAtCompany,Age,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DailyRateLog_L,DistanceFromHome,DailyRate,JobRole,TrainingTimesLastYear,Department,ID,EnvironmentSatisfaction,MaritalStatus,WorkLifeBalance,EducationField,NumCompaniesWorked,Gender,MonthlyRate,MonthlyRate_L,HourlyRate,HourlyRateLog_L,BusinessTravel,RelationshipSatisfaction,EmployeeNumber,Education,PercentSalaryHike,PercentSalaryHike_L,YearsSinceLastPromotion,PerformanceRating","Kappa",55
"111","OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,YearsInCurrentRole,YearsWithCurrManager,JobLevel,JobInvolvement,Age,EducationField,JobSatisfaction,Department,ID,DistanceFromHome_L,DistanceFromHome,JobRole,NumCompaniesWorked,TrainingTimesLastYear,RelationshipSatisfaction,Education,YearsSinceLastPromotion,EnvironmentSatisfaction,WorkLifeBalance,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,Gender,MaritalStatus,DailyRate,DailyRateLog_L,PerformanceRating,BusinessTravel","Accuracy",56
