"","model","predicted_threshold","predicted_acc","predicted_sen","predicted_spec","actual_threshold","actual_acc","actual_sen","actual_spec","features","fL","usekernel","adjust","seed"
"22","up",0.49,0.72871169043245,0.777272727272727,0.719497369959088,0.62,0.844827586206897,0.75,0.863013698630137,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",5,FALSE,2,1234
"23","down",0.55,0.747758259703146,0.744848484848485,0.748305084745763,0.62,0.85632183908046,0.75,0.876712328767123,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",1.5,FALSE,3,1234
"24","rose",0.46,0.704627008427376,0.808636363636363,0.684535359438925,0.53,0.82183908045977,0.857142857142857,0.815068493150685,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,TRUE,3.5,1234
"25","up",0.48,0.716436240632199,0.73060606060606,0.713454120397429,0.56,0.827586206896552,0.857142857142857,0.821917808219178,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4.5,FALSE,1,1234
"26","down",0.48,0.707533782404572,0.763484848484848,0.696680303915839,0.5,0.764367816091954,0.892857142857143,0.73972602739726,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2.5,FALSE,1.5,1234
"27","rose",0.53,0.740178112151168,0.703939393939394,0.747282291057861,0.6,0.839080459770115,0.892857142857143,0.828767123287671,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2,FALSE,1,1234
"28","up",0.48,0.714374128830957,0.776363636363636,0.702700175336061,0.6,0.850574712643678,0.785714285714286,0.863013698630137,"Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,FALSE,3,1234
"29","down",0.52,0.727132942583035,0.764545454545454,0.720011689070719,0.56,0.816091954022989,0.75,0.828767123287671,"Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4,FALSE,1,1234
"30","rose",0.47,0.703526375645175,0.783787878787878,0.688007013442431,0.52,0.833333333333333,0.821428571428571,0.835616438356164,"Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",3.5,TRUE,4.5,1234
"31","up",0.58,0.768608112442773,0.661212121212121,0.789006428988896,0.48,0.810344827586207,0.785714285714286,0.815068493150685,"Department,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,WorkLifeBalance",0.5,FALSE,1.5,1234
"32","down",0.55,0.737854489254367,0.697272727272727,0.745879602571596,0.77,0.890804597701149,0.678571428571429,0.931506849315068,"Department,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,WorkLifeBalance",2.5,FALSE,4,1234
"33","rose",0.55,0.745125185897997,0.676363636363636,0.758626534190532,0.56,0.781609195402299,0.857142857142857,0.767123287671233,"Department,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,WorkLifeBalance",2,TRUE,1,1234
"34","up",0.48,0.726983116087831,0.733181818181818,0.725692577440094,0.59,0.862068965517241,0.857142857142857,0.863013698630137,"JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4,FALSE,1.5,1234
"35","down",0.48,0.710876797013968,0.749545454545454,0.703506721215663,0.62,0.816091954022989,0.785714285714286,0.821917808219178,"JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2,FALSE,4,1234
"36","rose",0.51,0.735520193625521,0.710909090909091,0.739982466393922,0.48,0.775862068965517,0.857142857142857,0.76027397260274,"JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",1.5,FALSE,2,1234
"37","up",0.45,0.703928906773977,0.770454545454545,0.691069549970777,0.6,0.850574712643678,0.785714285714286,0.863013698630137,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel",4,TRUE,3,1234
"38","down",0.45,0.687418306943108,0.805454545454545,0.664827586206897,0.67,0.844827586206897,0.821428571428571,0.849315068493151,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel",2.5,FALSE,4,1234
"39","rose",0.45,0.69863301548421,0.786060606060606,0.68187025131502,0.5,0.770114942528736,0.857142857142857,0.753424657534247,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel",3,TRUE,4,1234
"40","up",0.47,0.701132592657394,0.754848484848484,0.690718877849211,0.71,0.913793103448276,0.714285714285714,0.952054794520548,"Department,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3.5,FALSE,4.5,1234
"41","down",0.53,0.743414399440119,0.701212121212121,0.751841028638223,0.62,0.85632183908046,0.714285714285714,0.883561643835616,"Department,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",1,FALSE,2.5,1234
"42","rose",0.48,0.710909223456682,0.743484848484848,0.704453535943892,0.64,0.867816091954023,0.714285714285714,0.897260273972603,"Department,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3.5,FALSE,4.5,1234
"43","up",0.55,0.770913130959671,0.699393939393939,0.784517825832846,0.68,0.902298850574713,0.75,0.931506849315068,"Department,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",4,TRUE,1.5,1234
"44","down",0.52,0.72988627416674,0.756515151515151,0.724646405610754,0.73,0.890804597701149,0.714285714285714,0.924657534246575,"Department,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",2.5,TRUE,1.5,1234
"45","rose",0.56,0.773079170676231,0.684242424242424,0.790157802454705,0.55,0.827586206896552,0.785714285714286,0.835616438356164,"Department,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,1.5,1234
"46","up",0.41,0.662308692736127,0.799090909090909,0.636306253652834,0.64,0.862068965517241,0.714285714285714,0.89041095890411,"Department,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2.5,TRUE,1.5,1234
"47","down",0.52,0.720782841979413,0.716666666666666,0.721654003506721,0.72,0.908045977011494,0.714285714285714,0.945205479452055,"Department,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",0.5,FALSE,1,1234
"48","rose",0.51,0.738376053421981,0.703030303030303,0.745300993571011,0.55,0.816091954022989,0.75,0.828767123287671,"Department,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",5,FALSE,3.5,1234
"49","up",0.44,0.705785145656548,0.813333333333333,0.685230859146698,0.62,0.867816091954023,0.821428571428571,0.876712328767123,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,5,1234
"50","down",0.51,0.718645962732919,0.768484848484848,0.70886031560491,0.63,0.873563218390805,0.821428571428571,0.883561643835616,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",2,TRUE,5,1234
"51","rose",0.49,0.733244977109031,0.762727272727273,0.727796610169492,0.67,0.833333333333333,0.75,0.849315068493151,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,3.5,1234
"52","up",0.57,0.796097745895664,0.628333333333333,0.828176504967855,0.49,0.781609195402299,0.785714285714286,0.780821917808219,"JobInvolvement,JobRole,OverTime,StockOptionLevel",4,TRUE,2,1234
"53","down",0.55,0.757716326947191,0.692575757575757,0.770298071303332,0.5,0.775862068965517,0.821428571428571,0.767123287671233,"JobInvolvement,JobRole,OverTime,StockOptionLevel",0.5,TRUE,1.5,1234
"54","rose",0.54,0.770617560435074,0.68469696969697,0.787165400350672,0.48,0.781609195402299,0.75,0.787671232876712,"JobInvolvement,JobRole,OverTime,StockOptionLevel",3,FALSE,1,1234
"55","up",0.49,0.724944157699822,0.73469696969697,0.723009935710111,0.54,0.839080459770115,0.857142857142857,0.835616438356164,"JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",5,FALSE,1.5,1234
"56","down",0.51,0.72669431079229,0.761363636363636,0.720274693161894,0.54,0.775862068965517,0.892857142857143,0.753424657534247,"JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,4.5,1234
"57","rose",0.55,0.770202781908844,0.673484848484848,0.78875511396844,0.66,0.867816091954023,0.75,0.89041095890411,"JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,1,1234
"58","up",0.55,0.776423818271951,0.725909090909091,0.786300409117475,0.59,0.844827586206897,0.821428571428571,0.849315068493151,"Department,Gender,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"59","down",0.55,0.773271746420552,0.733939393939394,0.780759789596727,0.61,0.839080459770115,0.75,0.856164383561644,"Department,Gender,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3.5,TRUE,4.5,1234
